,datetime,open,high,low,close,volume
0,2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844
1,2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.09211
2,2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.66764
3,2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.64957
4,2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.49113
5,2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.45751
6,2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.12556
7,2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.60991
8,2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.00425
9,2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.00166
10,2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.72375
11,2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.16214
12,2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.50853
13,2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.89433
14,2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.09471
15,2018-01-16,13500.0,13542.93,9035.0,10900.0,63401.16918
16,2018-01-17,10899.99,11680.99,9037.94,10988.79,72331.79665
17,2018-01-18,10972.59,11878.82,10435.33,10961.97,48464.43494
18,2018-01-19,10960.0,11795.0,10360.0,11474.98,34129.37542
19,2018-01-20,11474.98,13099.0,11412.45,12799.94,28768.85783
20,2018-01-21,12799.8,12799.8,10965.0,11530.0,41379.77343
21,2018-01-22,11530.0,11926.35,9900.24,10760.05,43752.60679
22,2018-01-23,10760.05,11399.0,9905.0,10799.18,37473.92255
23,2018-01-24,10799.14,11570.48,10500.0,11349.99,27158.58776
24,2018-01-25,11349.96,11794.05,10950.21,11175.27,20839.95418
25,2018-01-26,11184.7,11643.0,10311.15,11089.0,33056.87196
26,2018-01-27,11089.0,11650.0,10842.69,11491.0,18860.76835
27,2018-01-28,11499.98,12244.0,11408.0,11879.95,16887.33952
28,2018-01-29,11879.95,11975.02,11139.55,11251.0,14170.37754
29,2018-01-30,11250.11,11308.42,9900.0,10237.51,25554.37295
30,2018-01-31,10230.0,10425.85,9700.0,10285.1,18015.95681
31,2018-02-01,10285.1,10335.0,8750.99,9224.52,33564.76431
32,2018-02-02,9224.52,9250.0,8010.02,8873.03,49971.62698
33,2018-02-03,8873.03,9473.01,8229.0,9199.96,28725.00074
34,2018-02-04,9199.96,9368.0,7930.0,8184.81,32014.30845
35,2018-02-05,8179.99,8382.8,6625.0,6939.99,63403.18258
36,2018-02-06,6939.63,7878.0,6000.01,7652.14,100201.5003
37,2018-02-07,7655.02,8476.0,7150.01,7599.0,60778.4605
38,2018-02-08,7599.0,7844.0,7572.09,7784.02,1521.537318
39,2018-02-09,7789.9,8738.0,7789.9,8683.92,20482.91083
40,2018-02-10,8683.93,9065.78,8120.0,8533.98,49381.51265
41,2018-02-11,8533.99,8549.0,7726.53,8063.88,45025.18795
42,2018-02-12,8063.82,8989.0,8053.0,8903.0,41987.85049
43,2018-02-13,8903.0,8950.0,8351.0,8539.9,35454.97296
44,2018-02-14,8535.17,9489.6,8533.0,9449.99,40811.95287
45,2018-02-15,9449.98,10219.5,9301.5,10000.09,52427.59672
46,2018-02-16,10000.89,10323.37,9666.0,10159.98,38161.20597
47,2018-02-17,10156.07,11075.07,10050.0,11039.55,41882.10841
48,2018-02-18,11039.55,11274.0,10080.0,10383.43,61137.38073
49,2018-02-19,10375.01,11250.0,10270.33,11153.0,40831.41713
50,2018-02-20,11147.11,11786.01,11100.59,11200.99,48153.35429
51,2018-02-21,11195.07,11304.03,10200.0,10437.6,68113.81875
52,2018-02-22,10439.02,10933.44,9679.0,9811.04,67060.16648
53,2018-02-23,9815.55,10435.0,9570.19,10131.04,57202.70237
54,2018-02-24,10131.04,10496.97,9352.0,9694.51,40888.1563
55,2018-02-25,9694.51,9847.0,9274.8,9590.0,28373.51759
56,2018-02-26,9590.0,10444.32,9350.0,10324.0,34878.29276
57,2018-02-27,10321.0,10870.0,10121.0,10569.04,30705.38512
58,2018-02-28,10584.33,11098.0,10300.0,10326.76,30800.98378
59,2018-03-01,10325.64,11060.41,10240.0,10920.0,25092.55393
60,2018-03-02,10923.36,11200.0,10770.0,11039.0,23910.71009
61,2018-03-03,11038.99,11544.0,11015.01,11464.48,21287.15328
62,2018-03-04,11464.47,11565.0,11050.02,11515.0,17295.91865
63,2018-03-05,11515.0,11710.0,11415.01,11454.0,15144.23106
64,2018-03-06,11455.0,11455.0,10555.48,10716.48,29515.57236
65,2018-03-07,10716.48,10899.0,9389.31,9910.0,50647.67108
66,2018-03-08,9910.0,10099.0,9060.0,9271.64,41109.47323
67,2018-03-09,9267.07,9410.0,8329.0,9227.0,64112.29141
68,2018-03-10,9230.0,9490.0,8667.07,8770.22,37180.01286
69,2018-03-11,8770.22,9740.0,8450.0,9533.57,44325.97339
70,2018-03-12,9533.57,9888.88,8780.0,9131.34,42230.77793
71,2018-03-13,9131.34,9474.0,8823.0,9150.0,40191.40936
72,2018-03-14,9151.92,9333.78,7900.28,8170.0,49708.09411
73,2018-03-15,8184.01,8430.0,7650.0,8240.98,52291.02228
74,2018-03-16,8240.98,8611.64,7900.0,8260.0,38815.40989
75,2018-03-17,8260.0,8348.62,7721.99,7824.8,33110.20633
76,2018-03-18,7824.01,8317.4,7322.0,8189.99,59488.23171
77,2018-03-19,8189.0,8705.23,8088.4,8600.0,55297.08494
78,2018-03-20,8595.01,9050.0,8280.0,8909.98,44865.10584
79,2018-03-21,8909.96,9177.01,8750.6,8885.0,39972.40537
80,2018-03-22,8884.82,9100.0,8465.1,8722.9,40617.55681
81,2018-03-23,8720.0,8909.0,8269.0,8898.03,39991.00767
82,2018-03-24,8898.04,8999.95,8491.0,8546.86,35466.60957
83,2018-03-25,8531.25,8669.85,8365.77,8470.15,29001.76932
84,2018-03-26,8470.14,8514.89,7831.0,8134.23,44033.59566
85,2018-03-27,8134.22,8215.94,7730.0,7795.51,37427.64805
86,2018-03-28,7795.51,8109.0,7728.0,7949.3,26401.33167
87,2018-03-29,7949.3,7975.0,6941.11,7090.14,54620.91513
88,2018-03-30,7090.16,7292.43,6600.1,6840.23,65306.03198
89,2018-03-31,6840.24,7223.36,6777.0,6923.91,36868.53909
90,2018-04-01,6922.0,7049.98,6430.0,6813.01,44071.43046
91,2018-04-02,6813.01,7125.0,6765.0,7056.0,32123.56007
92,2018-04-03,7063.97,7520.0,7011.01,7405.21,37787.33181
93,2018-04-04,7405.21,7427.52,6707.0,6796.1,42227.1838
94,2018-04-05,6796.1,6902.0,6566.69,6770.76,39029.73146
95,2018-04-06,6770.0,6850.0,6500.0,6601.39,27455.01192
96,2018-04-07,6601.39,7070.0,6586.28,6895.8,32269.57827
97,2018-04-08,6895.81,7109.13,6880.0,7018.0,21427.67317
